AFFX-BioB-5_at (endogenous control),AFFX-BioB-5_at
FGFR3 Fibroblast growth factor receptor 3 (achondroplasia, thanatophoric dwarfism),M64347_at
GB DEF = Rhom-3 gene, exon,M64358_at
APOLIPOPROTEIN AI REGULATORY PROTEIN-1,M64497_at
F13A1 gene (coagulation factor XIIIb) extracted from Human factor XIII b subunit gene,M64554_rna1_at
MAP4 Microtubule-associated protein 4,M64571_at
PTPN3 Protein tyrosine phosphatase, non-receptor type 3,M64572_at
GLDC Glycine cleavage system protein P (glycine decarboxylase),M64590_at
RAC2 Ras-related C3 botulinum toxin substrate 2,M64595_at
HEAT SHOCK FACTOR PROTEIN 1,M64673_at
GB DEF = K+ channel subunit gene,M64676_at
RPS25 Ribosomal protein S25,M64716_at
RAP1GA1 RAP1, GTPase activating protein 1,M64788_at
MPP1 Membrane protein, palmitoylated 1 (55kD),M64925_at
PPP2R2A Protein phosphatase 2 (formerly 2A), regulatory subunit B (PR 52), alpha isoform,M64929_at
Protein phosphatase 2A beta subunit mRNA,M64930_at
XK Kell blood group precursor (McLeod phenotype),M64934_at
Retinoic acid-inducible endogenous retroviral DNA,M64936_at
PSMA2 Proteasome component C2,M64992_at
PRKAR1B Protein kinase, cAMP-dependent, regulatory, type I, beta,M65066_at
FSHR Follicle stimulating hormone receptor,M65085_at
Methylmalonyl-CoA mutase (MCM) mRNA,M65131_rna1_at
EDN2 Endothelin 2,M65199_at
HEAT SHOCK FACTOR PROTEIN 2,M65217_at
PPP2R1B Protein phosphatase 2 (formerly 2A), regulatory subunit A (PR 65), beta isoform,M65254_at
IL12B Natural killer cell stimulatory factor (IL12B),M65290_at
IL12A Natural killer cell stimulatory factor (IL12A),M65291_at
D(1B) DOPAMINE RECEPTOR,M67439_at
PCI gene (plasminogen activator inhibitor 3) extracted from Human protein C inhibitor gene,M68516_rna1_at
CDK2 Cyclin-dependent kinase 2,M68520_at
MAOA Monoamine oxidase A,M68840_at
ORF mRNA,M68864_at
PLA2G4 Phospholipase A2, group IV,M68874_at
GATA2 GATA-binding protein 2,M68891_at
Alcohol dehydrogenase 6 gene,M68895_rna1_at
GB DEF = Protein-tyrosine phosphatase mRNA,M68941_at
Globin gene,M69023_at
PRE-MRNA SPLICING FACTOR SF2, P32 SUBUNIT PRECURSOR,M69039_at
MAJOR HISTOCOMPATIBILITY COMPLEX ENHANCER-BINDING PROTEIN MAD3,M69043_at
MSN Moesin,M69066_at
MAOB Monoamine oxidase B,M69177_at
Bullous pemphigoid antigen (BPAG1) mRNA,M69225_at
ARNT Aryl hydrocarbon receptor nuclear translocator,M69238_at
TPP2 Tripeptidyl peptidase II,M73047_at
Glucocorticoid receptor repression factor 1 (GRF-1) mRNA,M73077_at
GRPR Gastrin-releasing peptide receptor,M73481_at
NMBR Neuromedin B receptor,M73482_at
Heat-stable enterotoxin receptor mRNA,M73489_at
POLYPOSIS LOCUS PROTEIN 1,M73547_at
CPA3 Carboxypeptidase A3 (mast cell),M73720_at
ITGB8 Integrin, beta 8,M73780_at
Arginine-rich nuclear protein mRNA,M74002_at
SRD5A2 Steroid 5-alpha-reductase 2 (SRD5A2),M74047_at
TB1 gene mRNA, 3 end,M74089_at
Cyclin mRNA,M74091_at
G1/S-SPECIFIC CYCLIN E,M74093_at
ACADL Acyl-Coenzyme A dehydrogenase, long chain,M74096_at
CUTL1 Cut (Drosophila)-like 1 (CCAAT displacement protein),M74099_at
75 KD INOSITOL-1,4,5-TRISPHOSPHATE 5-PHOSPHATASE PRECURSOR,M74161_at
TAC1R Tachykinin 1 receptor (substance P receptor, neurokinin 1 receptor) {alternative products},M74290_at
HOXA4 Homeo box A4,M74297_at
TAP2 Transporter 2, ABC (ATP binding cassette),M74447_at
ARF3 ADP-ribosylation factor 3,M74491_at
UBE2A Ubiquitin-conjugating enzyme E2A (RAD6 homolog),M74524_at
UBE2B Ubiquitin-conjugating enzyme E2B (RAD6 homolog),M74525_at
ALDH3 Aldehyde dehydrogenase 3,M74542_at
SIL mRNA,M74558_at
SEF2-1A protein (SEF2-1A) mRNA, 5 end,M74719_at
GAD2 Glutamate decarboxylase 2,M74826_at
FRAP FK506 binding protein 12-rapamycin associated protein,M75099_at
CPB2 Prepro-plasma carboxypeptidase B,M75106_at
H,K-ATPase beta subunit mRNA,M75110_at
HK1 Hexokinase 1,M75126_at
DDC Dopa decarboxylase (aromatic L-amino acid decarboxylase),M76180_at
RNS1 Ribonuclease A (pancreatic),M76231_at
FN1 Fibronectin 1,M76378_at
Carbonic anhydrase VII (CA VII) gene,M76424_at
ADRA1A Adrenergic, alpha-1A-, receptor,M76446_at
DSG3 Desmoglein 3 (pemphigus vulgaris antigen),M76482_at
Neuronal DHP-sensitive, voltage-dependent, calcium channel alpha-1D subunit mRNA,M76558_at
Neuronal DHP-sensitive, voltage-dependent, calcium channel alpha-2b subunit mRNA,M76559_at
CORTICOSTEROID 11-BETA-DEHYDROGENASE, ISOZYME 1,M76665_at
GTF2B General transcription factor IIB,M76766_at
TMOD Tropomodulin,M77016_at
GALN Galanin,M77140_at
NUCLEOLYSIN TIA-1,M77142_at
Ribosomal protein S6 gene and flanking regions,M77232_rna1_at
Cardiac tetrodotoxin-insensitive voltage-dependent sodium channel alpha subunit (HH1) mRNA,M77235_at
Transforming growth factor-beta induced gene product (BIGH3) mRNA,M77349_at
YY1 YY1 transcription factor,M77698_at
GATA2 GATA-binding protein 2,M77810_at
PYCR1 Pyrroline-5-carboxylate reductase 1,M77836_at
PML Probable transcription factor PML {alternative products},M79462_at
INTEGRAL MEMBRANE PROTEIN E16,M80244_at
PEPTIDYL-PROLYL CIS-TRANS ISOMERASE, MITOCHONDRIAL PRECURSOR,M80254_at
GB DEF = M5 muscarinic acetylcholine receptor gene,M80333_at
Protein kinase A catalytic subunit mRNA, 3 end,M80335_at
PUTATIVE SERINE/THREONINE-PROTEIN KINASE P78,M80359_at
GP9 Platelet glycoprotein IX,M80478_at
PACE4 Paired basic amino acid cleaving system 4,M80482_at
PLACENTAL CALCIUM-BINDING PROTEIN,M80563_at
Cdc2-related protein kinase (CHED) mRNA,M80629_at
THROMBOXANE-A SYNTHASE,M80647_at
B12 protein mRNA,M80783_at
AHNAK AHNAK nucleoprotein (desmoyokin),M80899_at
CPB1 Carboxypeptidase B1 (tissue),M81057_at
ADH5 Alcohol dehydrogenase 5 chi subunit (class III),M81118_at
COL4A3 Collagen, type IV, alpha 3,M81379_at
TRANSCRIPTION ELONGATION FACTOR S-II,M81601_at
GRANCALCIN,M81637_at
MNDA Myeloid cell nuclear differentiation antigen,M81750_at
40S RIBOSOMAL PROTEIN S19,M81757_at
SODIUM CHANNEL PROTEIN, SKELETAL MUSCLE ALPHA-SUBUNIT,M81758_at
SMPD1 gene (acid sphingomyelinase) extracted from Homo sapiens acid sphingomyelinase (SMPD1) gene, ORFs 1-3s,M81780_cds3_at
SMPD1 gene extracted from Homo sapiens acid sphingomyelinase (SMPD1) gene, ORFs 1-3s,M81780_cds4_at
SMPD1 gene (acid sphingomyelinase) extracted from Homo sapiens acid sphingomyelinase (SMPD1) gene, ORFs 1-3s,M81780_cds5_at
GB DEF = Somatostatin receptor isoform 1 gene,M81829_at
GB DEF = Somatostatin receptor isoform 2 (SSTR2) gene,M81830_at
GAD2 Glutamate decarboxylase 2 (pancreatic islets and brain, 65kD),M81882_at
CDC25A Cell division cycle 25A,M81933_at
ANX4 Annexin IV (placental anticoagulant protein II),M82809_at
ETS-RELATED TRANSCRIPTION FACTOR ELF-1,M82882_at
GABRB3 Gamma-aminobutyric acid (GABA) A receptor, beta 3,M82919_at
N-benzoyl-L-tyrosyl-p-amino-benzoic acid hydrolase alpha subunit (PPH alpha) mRNA,M82962_at
PGM1 Phosphoglucomutase 1,M83088_at
GB DEF = Serotonin receptor gene,M83181_at
COX7A1 Cytochrome c oxidase subunit VIIa polypeptide 1 (muscle),M83186_at
TRANSCRIPTION FACTOR RELB,M83221_at
TCF12 Transcription factor 12 (HTF4, helix-loop-helix transcription factors 4),M83233_at
CYTOCHROME C OXIDASE POLYPEPTIDE VIA-HEART PRECURSOR,M83308_at
ATP2B4 ATPase, Ca++ transporting, plasma membrane 4,M83363_at
CD30 CD30 antigen (Ki-1 antigen),M83554_at
BETA-1,4 N-ACETYLGALACTOSAMINYLTRANSFERASE,M83651_at
PTPN9 Protein tyrosine phosphatase, non-receptor type 9,M83738_at
Arginine-rich protein (ARP) gene,M83751_at
FMO2 Flavin-containing monooxygenase 2,M83772_at
Beige-like protein (BGL) mRNA, partial cds,M83822_at
GB DEF = Receptor tyrosine kinase (HEK) mRNA,M83941_at
ARF1 ADP-ribosylation factor 1,M84332_at
CD59 CD59 antigen p18-20 (antigen identified by monoclonal antibodies 16.3A5, EJ16, EJ30, EL32 and G344),M84349_at
DF D component of complement (adipsin),M84526_at
PUTATIVE TACHYKININ RECEPTOR,M84605_at
RPS3A Ribosomal protein S3A,M84711_at
CALR Autoantigen calreticulin,M84739_at
CSTF2 Cleavage stimulation factor, 3 pre-RNA, subunit 2, 64kD,M85085_at
ELK4 SRF accessory protein 1B (SAP-1),M85164_at
ELK4 ELK4, ETS-domain protein (SRF accessory protein 1) NOTE: Symbol and name provisional,M85165_at
Homologue of yeast sec7 mRNA,M85169_at
KCNA3 Potassium voltage-gated channel, shaker-related subfamily, member 3,M85217_at
GB DEF = Heavy chain disease IgA chain gene, CH3 region with a 369 bp deletion, 3 end,M85220_at
GB DEF = Dopamine D1A receptor gene, complete exon 1, and exon 2, 5 end,M85247_at
NKG5 PROTEIN PRECURSOR,M85276_at
YWHAZ Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide,M86400_at
ACTN2 Actinin alpha 2 ,M86406_at
ACTN3 Actinin alpha-3,M86407_at
GB DEF = Neurotrophin-4 (NT-4) gene,M86528_at
PBX1 PBX1a and PBX1b,M86546_at
HnRNP C2 protein mRNA,M86667_at
TTK TTK protein kinase,M86699_at
GLYCYLPEPTIDE N-TETRADECANOYLTRANSFERASE,M86707_at
SSRP1 High mobility group box,M86737_at
TRANSFORMATION-SENSITIVE PROTEIN IEF SSP 3521,M86752_at
GB DEF = Pyruvate dehydrogenase complex (PDHA2) gene,M86808_at
INSULIN-LIKE GROWTH FACTOR BINDING PROTEIN COMPLEX ACID LABILE CHAIN PRECURSOR,M86826_at
Connexin 26 (GJB2) mRNA,M86849_at
PXMP3 Peroxisomal membrane protein 3 (35kD, Zellweger syndrome),M86852_at
GABRR2 Gamma-aminobutyric acid (GABA) receptor, rho 2,M86868_at
OSBP Oxysterol binding protein,M86917_at
GS1 PROTEIN,M86934_at
69/71 KD,M87284_at
RFC2 Replication factor C (activator 1) 2, 40kD subunit,M87338_at
RFC4 Replication factor C, 37-kD subunit,M87339_at
69/71 KD,M87434_at
UNG Uracil-DNA glycosylase,M87499_at
TRANSCRIPTIONAL REGULATOR ISGF3 GAMMA SUBUNIT,M87503_at
GALECTIN-2,M87860_at
P62 mRNA,M88108_at
SNF2L1 SNF2 (sucrose nonfermenting, yeast, homolog)-like 1,M88163_at
FKBP4 FK506-binding protein 4 (59kD),M88279_at
T-CELL SURFACE PROTEIN TACTILE PRECURSOR,M88282_at
SERUM PROTEIN MSE55,M88338_at
ELP-1 mRNA sequence,M88458_at
MVK Mevalonate kinase,M88468_at
Zinc finger protein (SRE-ZBP) mRNA, 3 end,M88579_at
NEUROMEDIN K RECEPTOR,M89473_at
High affinity IgE receptor beta chain gene,M89796_rna1_at
GB DEF = 5-HT1D-type serotonin receptor gene,M89955_at
IGB Immunoglobulin-associated beta (B29),M89957_at
GCK Glucokinase (hexokinase 4, maturity onset diabetes of the young 2),M90299_at
A-KINASE ANCHOR PROTEIN 79,M90359_at
Zona pellucida glycoprotein 2 (ZP2) mRNA,M90366_at
GFPT Glutamine-fructose-6-phosphate transaminase,M90516_at
GLCLC Glutamate-cysteine ligase (gamma-glutamylcysteine synthetase), catalytic (72.8kD),M90656_at
TUMOR-ASSOCIATED ANTIGEN L6,M90657_at
CTSS Cathepsin S,M90696_at
FKBP3 FK506-binding protein 3 (25kD),M90820_at
AMP deaminase (AMPD2) mRNA,M91029_cds2_at
G-gamma globin gene extracted from H.sapiens G-gamma globin and A-gamma globin geness,M91036_rna1_at
DNA-binding protein (HRC1) mRNA,M91083_at
ICSBP1 Interferon consensus sequence binding protein 1,M91196_at
ACADM Acyl-Coenzyme A dehydrogenase, C-4 to C-12 straight chain,M91432_at
GB DEF = Kazal-type serine proteinase (HUSI-II) gene,M91438_at
HTR1E 5-hydroxytryptamine (serotonin) receptor 1E,M91467_at
Br140 mRNA,M91585_at
ZNF76 Zinc finger protein 76,M91592_at
Ubiquitin carrier protein (E2-EPF) mRNA,M91670_at
CCND3 Cyclin D3,M92287_at
DIHYDROPRYRIDINE-SENSITIVE L-TYPE, CALCIUM CHANNEL BETA-1-B1 SUBUNIT,M92303_at
B94 PROTEIN,M92357_at
MDM2 Mouse double minute 2, human homolog of; p53-binding protein,M92424_at
GUC2D Guanylate cyclase 2D, membrane (retina-specific),M92432_at
130 KD LEUCINE-RICH PROTEIN,M92439_at
LTR mRNA, 3 end of coding region and 3 flank,M92449_at
CTGF Connective tissue growth factor,M92934_at
MAJOR GASTROINTESTINAL TUMOR-ASSOCIATED PROTEIN GA733-2 PRECURSOR,M93036_at
LEUKOCYTE ELASTASE INHIBITOR,M93056_at
D-BETA-HYDROXYBUTYRATE DEHYDROGENASE PRECURSOR,M93107_at
INSM1 Insulinoma-associated 1 (symbol provisional),M93119_at
M6PR Mannose receptor,M93221_at
Pancreatic lipase related protein 1 (PLRP1) mRNA,M93283_at
Pancreatic lipase related protein 2 (PLRP2) mRNA,M93284_at
Methylmalonate semialdehyde dehydrogenase gene,M93405_at
ACVR2 Activin A receptor, type II,M93415_at
PTPN12 Protein tyrosine phosphatase, non-receptor type 12,M93425_at
PTPRZ Protein tyrosine phosphatase, receptor-type, zeta polypeptide,M93426_at
Paired box gene (PAX6) homologue,M93650_at
NOS3 Nitric oxide synthase 3 (endothelial cell),M93718_at
DHODH Dihydroorotate dehydrogenase,M94065_at
LOR Loricrin,M94077_at
Cadherin-associated protein-related (cap-r) mRNA,M94151_at
HGL Heregulin alpha,M94167_at
MDK Midkine (neurite growth-promoting factor 2),M94250_at
CAPG Capping protein (actin filament), gelsolin-like,M94345_at
LAMB2 Laminin, beta 2 (laminin S),M94362_at
HUMMLC2At; Homo sapiens; ; 593 base-pairs,M94547_at
SSBP Single-stranded DNA-binding protein,M94556_at
Heterogeneous nuclear ribonucleoprotein D (hnRNP D), partial cds, clone cDx4,M94630_at
GB DEF = Recombination acitivating protein (RAG2) gene, last exon,M94633_at
FATTY ACID-BINDING PROTEIN, EPIDERMAL,M94856_at
TSPY Testis specific protein, Y-linked,M94893_at
SLC6A3 Solute carrier family 6 (neurotransmitter transporter, dopamine), member 3,M95167_at
ALPHA-ACTININ 1, CYTOSKELETAL ISOFORM,M95178_at
SLC5A2 Solute carrier family 5 (sodium/glucose cotransporter), member 2,M95549_at
COL9A2 Collagen, type IX, alpha 2,M95610_at
PBGD gene (hydroxymethylbilane synthase) extracted from Homo sapiens hydroxymethylbilane synthase gene,M95623_cds1_at
Angio-associated migratory cell protein (AAMP) mRNA,M95627_at
PLCB2 Phospholipase C, beta 2,M95678_at
BRAF V-raf murine sarcoma viral oncogene homolog B1,M95712_at
CENPC Centromere autoantigen C,M95724_at
CTB Chitobiase, di-N-acetyl-,M95767_at
22kDa smooth muscle protein (SM22) mRNA,M95787_at
BASIC TRANSCRIPTION FACTOR 62 KD SUBUNIT,M95809_at
Leucine zipper on the D14S46E locus mRNA,M95925_at
Homeobox protein (PHOX1) mRNA, 3 end,M95929_at
Azurocidin gene,M96326_rna1_at
Pur (pur-alpha) mRNA,M96684_at
NSCL-1 mRNA sequence,M96739_at
HELIX-LOOP-HELIX PROTEIN 2,M96740_at
Rod outer segment membrane protein 1 (ROM1) gene exons 1-3,M96759_rna1_at
GJA4 Gap junction protein, alpha 4, 37kD (connexin 37),M96789_at
SPTBN1 Spectrin, beta, non-erythrocytic 1,M96803_at
DPP6 Dipeptidylpeptidase VI,M96859_at
PAIRED BOX PROTEIN PAX-5,M96944_at
MYELIN TRANSCRIPTION FACTOR 1,M96980_at
SPLICING FACTOR U2AF 35 KD SUBUNIT,M96982_at
SATB1 Special AT-rich sequence binding protein 1 (binds to nuclear matrix/scaffold-associating DNAs),M97287_at
DR1 Down-regulator of transcription 1, TBP-binding (negative cofactor 2),M97388_at
GUCA2 Guanylate cyclase activator 2 (guanylin, intestinal, heat-stable),M97496_at
Transmembrane receptor (ror2) mRNA,M97639_at
Protein tyrosine kinase t-Ror1 (Ror1) mRNA,M97675_at
CRABP2 Cellular retinoic acid-binding protein 2,M97815_at
NASP Nuclear autoantigenic sperm protein (histone-binding),M97856_at
Defensin 5 gene,M97925_rna1_at
SIGNAL TRANSDUCER AND ACTIVATOR OF TRANSCRIPTION 1-ALPHA/BETA,M97936_at
Folylpolyglutamate synthetase mRNA,M98045_at
Amplaxin (EMS1) mRNA,M98343_at
Keratinocyte transglutaminase gene,M98447_rna1_at
BRAIN NEURON CYTOPLASMIC PROTEIN 1,M98528_at
Prostaglandin D2 synthase gene,M98539_at
Keratin 1 gene,M98776_rna1_at
FLI1 Friend leukemia virus integration 1,M98833_at
KERATIN, TYPE II CYTOSKELETAL 2 ORAL,M99063_at
PROSTATE-SPECIFIC MEMBRANE ANTIGEN,M99487_at
P PROTEIN,M99564_at
(pp21) mRNA,M99701_at
HMOX2 Heme oxygenase (decycling) 2,S34389_at
KLK1 Kallikrein 1 (renal/pancreas/salivary) {alternative products},S39329_at
CDH2 Cadherin 2, N-cadherin (neuronal),S42303_at
CGMP-GATED CATION CHANNEL PROTEIN,S42457_at
KERATIN, TYPE II CYTOSKELETAL 2 EPIDERMAL,S43646_at
CRYAB Crystallin alpha-B,S45630_at
Calcineurin A catalytic subunit [human, testis, mRNA, 2134 nt],S46622_at
SERUM AMYLOID A-4 PROTEIN PRECURSOR,S48983_at
HKR-T1,S50223_at
CD34 CD34 antigen (hemopoietic progenitor cell antigen),S53911_at
BTC Betacellulin,S55606_at
CD68 CD68 antigen,S57235_at
GB DEF = (T1)=elastin translocation allele {exon 28, translocation} [human, Genomic Mutant, 1300 nt],S57887_at
75 kda infertility-related sperm protein [human, testis, mRNA Partial, 2427 nt],S58544_at
Pp52,S58733_at
RGS1 Regulator of G-protein signalling 1,S59049_at
RYK RYK receptor-like tyrosine kinase,S59184_at
ERBB3 V-erb-b2 avian erythroblastic leukemia viral oncogene homolog 3 {alternative products},S61953_at
Insulin receptor substrate-1 [human, skeletal muscle, mRNA, 5828 nt],S62539_at
D10S102,S63912_at
SP-10=intra-acrosomal protein {alternatively spliced} [human, liver, Genomic, 2339 nt 4 segments],S65583_rna1_at
Actin depolymerizing factor [human, fetal brain, mRNA, 1452 nt],S65738_at
RBP2,S66431_at
ARR3 Arrestin 3, retinal (X-arrestin),S66793_at
Heat shock protein HSP72 homolog [human, thyroid associated ophthalmopathy patient, mRNA Partial, 450 nt],S67070_at
ASPA Aspartoacylase (aminoacylase 2, Canavan disease),S67156_at
PCCB Propionyl Coenzyme A carboxylase, beta polypeptide,S67325_at
HYALURONIDASE PRECURSOR,S67798_at
ZNF75,S67970_at
SLC9A1 Solute carrier family 9 (sodium/hydrogen exchanger), isoform 1 (antiporter, Na+/H+, amiloride sensitive),S68616_at
Granulocyte colony-stimulating factor induced gene [human, CML patient, bone marrow mononuclear cells, mRNA, 833 nt],S69115_at
Peroxisomal acyl-coenzyme A oxidase [human, liver, mRNA, 3086 nt],S69189_at
Electron transfer flavoprotein-ubiquinone oxidoreductase [human, fetal liver, mRNA, 2124 nt],S69232_at
Brush-1,S69790_at
SNCB Synuclein, beta,S69965_at
Glycogen synthase [human, liver, mRNA, 2912 nt],S70004_at
ITGB3 Integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61),S70348_at
Thyroid-stimulating hormone alpha subunit [human, Genomic, 1327 nt 4 segments],S70585_rna1_at
GB DEF = Glycine transporter type 1b [human, substantia nigra, mRNA, 2364 nt],S70609_at
GB DEF = Cyclophilin C [human, kidney, mRNA, 883 nt],S71018_at
GB DEF = Acetylcholinesterase {I4-E5 doman} [human, tumor cell lines, Genomic, 847 nt],S71129_at
NEURAL CELL ADHESION MOLECULE, PHOSPHATIDYLINOSITOL-LINKED ISOFORM PRECURSOR,S71824_at
CDC10 Cell division cycle 10 (homologous to CDC10 of S. cerevisiae,S72008_at
PC Pyruvate carboxylase,S72370_at
Platelet-derived endothelial cell growth factor mRNA,S72487_at
H4(D10S170),S72869_at
APK1 antigen,S72904_at
GB DEF = Insulin-like growth factor II {intron 7} [human, Genomic, 1702 nt],S73149_at
GB DEF = Insulin activator factor [human, pancreatic insulinoma, mRNA Partial, 2622 nt],S73205_at
Brain-expressed HHCPA78 homolog [human, HL-60 acute promyelocytic leukemia cells, mRNA, 2704 nt],S73591_at
CD39 CD39 antigen,S73813_at
Nrf2,S74017_at
IK,S74221_at
Cellular retinoic acid-binding protein [human, skin, mRNA, 735 nt],S74445_at
ADP-ribosyltransferase [human, skeletal muscle, mRNA, 1334 nt],S74683_at
Antiquitin,S74728_at
Matk=megakaryocyte-associated tyrosine kinase [human, Genomic, 2617 nt 13 segments],S75168_rna1_at
E2F4 E2F transcription factor 4, p107/p130-binding,S75174_at
Nucleoprotein interactor 1,S75295_at
Josephin MJD1 mRNA, cds,S75313_at
ELONGATION FACTOR TU, MITOCHONDRIAL PRECURSOR,S75463_at
GB DEF = Gamma-aminobutyric acid transporter type 3 [human, fetal brain, mRNA, 1991 nt],S75989_at
GB DEF = CNG2=cyclic nucleotide-gated cation channel [human, peripheral leucocytes, Genomic, 784 nt],S76067_at
NTRK3 Neurotrophic tyrosine kinase, receptor, type 3 (TrkC),S76475_at
BLK Protein-tyrosine kinase blk,S76617_at
Protein kinase inhibitor [human, neuroblastoma cell line SH-SY-5Y, mRNA, 2147 nt],S76965_at
VAV2 Vav 2 oncogene,S76992_at
Muscle acetylcholine receptor alpha-subunit,S77094_at
GB DEF = Transcript ch21=oligomycin sensitivity conferral protein oscp homolog [human, RF1,RF48 stomach cancer cell lines, mRNA, 262 nt],S77356_at
GB DEF = Transcript ch132 [human, RF1,RF48 stomach cancer cell lines, mRNA, 216 nt],S77361_at
GB DEF = Transcript ch138 [human, RF1,RF48 stomach cancer cell lines, mRNA, 235 nt],S77393_at
Melanocortin-4 receptor [human, Genomic, 1671 nt],S77415_at
GB DEF = ERV9 reverse transcriptase homolog {clone RT11} [human, multiple sclerosis, brain plaques, mRNA Partial, 84 nt],S77575_at
