AFFX-MurIL2_at (spiked control),AFFX-MurIL2_at
Cluster Incl. AF060865:Homo sapiens chromosome 16 zinc finger protein ZNF210 (ZNF210) mRNA, complete cds /cds=(310,1824) /gb=AF060865 /gi=3818514 /ug=Hs.13128 /len=2015,34928_at
Cluster Incl. M83554:H.sapiens lymphocyte activation antigen CD30 mRNA, complete cds /cds=(222,2009) /gb=M83554 /gi=180095 /ug=Hs.1314 /len=3630,34929_at
Cluster Incl. U95218:Homo sapiens T cell-death associated protein gene, complete cds /cds=(0,1013) /gb=U95218 /gi=3420001 /ug=Hs.131924 /len=1014,34930_at
Cluster Incl. AB023157:Homo sapiens mRNA for KIAA0940 protein, complete cds /cds=(89,2143) /gb=AB023157 /gi=4589523 /ug=Hs.131945 /len=5715,34931_at
Cluster Incl. AF056334:Homo sapiens cancer/testis antigen CT7 mRNA, complete cds /cds=(286,3714) /gb=AF056334 /gi=3252908 /ug=Hs.132194 /len=4265,34932_at
Cluster Incl. AJ238381:Homo sapiens pax9 gene, exons 1-2 and joined CDS /cds=(391,1416) /gb=AJ238381 /gi=4699895 /ug=Hs.132576 /len=1630,34933_at
Cluster Incl. L29376:Homo sapiens (clone 3.8-1) MHC class I mRNA fragment /cds=UNKNOWN /gb=L29376 /gi=561725 /ug=Hs.132807 /len=1181,34934_at
Cluster Incl. AL021026:dJ127D3.3 (Flavin-containing Monooxygenase 2) /cds=(60,1475) /gb=AL021026 /gi=3171875 /ug=Hs.132821 /len=2655,34935_at
Cluster Incl. AB012130:Homo sapiens SBC2 mRNA for sodium bicarbonate cotransporter2, complete cds /cds=(27,3083) /gb=AB012130 /gi=3097315 /ug=Hs.132904 /len=3238,34936_at
Cluster Incl. AF064019:Homo sapiens DNA fragmentation factor 40 kDa subunit (DFF40) mRNA, complete cds /cds=(131,1147) /gb=AF064019 /gi=3347856 /ug=Hs.133089 /len=2839,34937_at
Cluster Incl. AF070536:Homo sapiens clone 24566 mRNA sequence /cds=UNKNOWN /gb=AF070536 /gi=3387893 /ug=Hs.133342 /len=1433,34938_i_at
Cluster Incl. AF070536:Homo sapiens clone 24566 mRNA sequence /cds=UNKNOWN /gb=AF070536 /gi=3387893 /ug=Hs.133342 /len=1433,34939_r_at
Cluster Incl. AL080095:Homo sapiens mRNA; cDNA DKFZp564O0862 (from clone DKFZp564O0862) /cds=UNKNOWN /gb=AL080095 /gi=5262516 /ug=Hs.133481 /len=2017,34940_at
Cluster Incl. AA921399:ak56g10.s1 Homo sapiens cDNA, 3  end /clone=IMAGE-1411938 /clone_end=3  /gb=AA921399 /gi=3068178 /ug=Hs.1340 /len=526,34941_at
Cluster Incl. AF070524:Homo sapiens clone 24453 mRNA sequence /cds=UNKNOWN /gb=AF070524 /gi=3387879 /ug=Hs.13410 /len=1578,34942_at
Cluster Incl. AF063564:AF063564 Homo sapiens cDNA /clone=HA0126 /gb=AF063564 /gi=5080935 /ug=Hs.134239 /len=691,34943_at
Cluster Incl. U51704:HSU51704 Homo sapiens cDNA /gb=U51704 /gi=1806578 /ug=Hs.134239 /len=1670,34944_at
Cluster Incl. AF070526:Homo sapiens clone 24787 mRNA sequence /cds=UNKNOWN /gb=AF070526 /gi=3387881 /ug=Hs.13429 /len=1942,34945_at
Cluster Incl. AJ223183:Homo sapiens mRNA for DORA protein /cds=(44,769) /gb=AJ223183 /gi=3925598 /ug=Hs.135194 /len=1019,34946_at
Cluster Incl. AA442560:zv75g07.r1 Homo sapiens cDNA, 5  end /clone=IMAGE-759516 /clone_end=5  /gb=AA442560 /gi=2154438 /ug=Hs.135198 /len=566,34947_at
Cluster Incl. AI820065:wg56a09.x1 Homo sapiens cDNA, 3  end /clone=IMAGE-2369080 /clone_end=3  /gb=AI820065 /gi=5439144 /ug=Hs.135198 /len=468,34948_at
Cluster Incl. AB028971:Homo sapiens mRNA for KIAA1048 protein, complete cds /cds=(384,2975) /gb=AB028971 /gi=5689432 /ug=Hs.135941 /len=4492,34949_at
Cluster Incl. AB018303:Homo sapiens mRNA for KIAA0760 protein, partial cds /cds=(0,3620) /gb=AB018303 /gi=3882240 /ug=Hs.137168 /len=4194,34950_at
Cluster Incl. D10923:Human mRNA for HM74 /cds=(60,1223) /gb=D10923 /gi=219866 /ug=Hs.137555 /len=2041,34951_at
Cluster Incl. X95826:H.sapiens ART4 gene /cds=(0,803) /gb=X95826 /gi=1495420 /ug=Hs.13776 /len=804,34952_at
Cluster Incl. D89094:Homo sapiens mRNA for 3,5 -cyclic GMP phosphodiesterase, complete cds /cds=(319,2946) /gb=D89094 /gi=3252778 /ug=Hs.139271 /len=4415,34953_i_at
Cluster Incl. D89094:Homo sapiens mRNA for 3,5 -cyclic GMP phosphodiesterase, complete cds /cds=(319,2946) /gb=D89094 /gi=3252778 /ug=Hs.139271 /len=4415,34954_r_at
Cluster Incl. AF071202:Homo sapiens ABC transporter MOAT-B (MOAT-B) mRNA, complete cds /cds=(115,4092) /gb=AF071202 /gi=3335172 /ug=Hs.139336 /len=4231,34955_at
Cluster Incl. T77051:yd72e12.s1 Homo sapiens cDNA, 3  end /clone=IMAGE-113806 /clone_end=3  /gb=T77051 /gi=694254 /ug=Hs.14038 /len=351,34956_at
Cluster Incl. Y18504:Homo sapiens X5L gene /cds=(112,1089) /gb=Y18504 /gi=5327003 /ug=Hs.140944 /len=1618,34957_at
Cluster Incl. AF052140:Homo sapiens clone 23758 mRNA sequence /cds=UNKNOWN /gb=AF052140 /gi=3360449 /ug=Hs.141055 /len=1480,34958_at
Cluster Incl. M15059:Human Fc-epsilon receptor (IgE receptor) mRNA, complete cds (H107 epitope) /cds=(213,1178) /gb=M15059 /gi=182447 /ug=Hs.1416 /len=1530,34959_at
Cluster Incl. M15059:Human Fc-epsilon receptor (IgE receptor) mRNA, complete cds (H107 epitope) /cds=(213,1178) /gb=M15059 /gi=182447 /ug=Hs.1416 /len=1530,34960_g_at
Cluster Incl. M88282:Human tactile protein mRNA, complete cds /cds=(928,2637) /gb=M88282 /gi=338671 /ug=Hs.142023 /len=5205,34961_at
Cluster Incl. AF052160:Homo sapiens clone 24629 mRNA sequence /cds=UNKNOWN /gb=AF052160 /gi=3360471 /ug=Hs.142570 /len=1401,34962_at
Cluster Incl. AA557228:nl75c09.s1 Homo sapiens cDNA, 3  end /clone=IMAGE-1056496 /clone_end=3  /gb=AA557228 /gi=2327705 /ug=Hs.142862 /len=666,34963_at
Cluster Incl. N35832:yx89b10.r1 Homo sapiens cDNA, 5  end /clone=IMAGE-268891 /clone_end=5  /gb=N35832 /gi=1156974 /ug=Hs.143042 /len=578,34964_at
Cluster Incl. AF031824:Homo sapiens leukocystatin mRNA, complete cds /cds=(215,652) /gb=AF031824 /gi=3252857 /ug=Hs.143212 /len=867,34965_at
Cluster Incl. AJ001699:Homo sapiens mRNA for Brachyury (T) protein /cds=(159,1466) /gb=AJ001699 /gi=2558580 /ug=Hs.143507 /len=2180,34966_at
Cluster Incl. AF001549:Human Chromosome 16 BAC clone CIT987SK-A-270G1 /cds=(90,551) /gb=AF001549 /gi=3355302 /ug=Hs.14374 /len=667,34967_at
Cluster Incl. AB029007:Homo sapiens mRNA for KIAA1084 protein, complete cds /cds=(233,2527) /gb=AB029007 /gi=5689504 /ug=Hs.144028 /len=5546,34968_at
Cluster Incl. AL096750:Homo sapiens mRNA; cDNA DKFZp434H244 (from clone DKFZp434H244) /cds=UNKNOWN /gb=AL096750 /gi=5419884 /ug=Hs.144426 /len=3095,34969_s_at
Cluster Incl. AI655458:tt13a03.x1 Homo sapiens cDNA, 3  end /clone=IMAGE-2240620 /clone_end=3  /gb=AI655458 /gi=4739437 /ug=Hs.144426 /len=549,34970_r_at
Cluster Incl. AI671905:wb41d12.x1 Homo sapiens cDNA, 3  end /clone=IMAGE-2308247 /clone_end=3  /gb=AI671905 /gi=4851636 /ug=Hs.144505 /len=523,34971_at
Cluster Incl. AJ000522:Homo sapiens mRNA for dynein heavy chain /cds=(0,3540) /gb=AJ000522 /gi=2276318 /ug=Hs.144672 /len=3747,34972_s_at
Cluster Incl. AB013452:Homo sapiens mRNA for ATPaseII, complete cds /cds=(22,3507) /gb=AB013452 /gi=4704323 /ug=Hs.144931 /len=3807,34973_at
Cluster Incl. Y13323:Homo sapiens mRNA for disintegrin-protease /cds=(60,1472) /gb=Y13323 /gi=5042231 /ug=Hs.145296 /len=2187,34974_at
Cluster Incl. AF097358:Homo sapiens mast cell function-associated antigen homolog (MAFA) mRNA, complete cds /cds=(17,586) /gb=AF097358 /gi=4139191 /ug=Hs.146322 /len=918,34975_at
Cluster Incl. M60052:Human histidine-rich calcium binding protein (HRC) mRNA, complete cds /cds=(170,2269) /gb=M60052 /gi=183918 /ug=Hs.1480 /len=2365,34976_at
Cluster Incl. AJ007395:Homo sapiens mRNA for QA79 membrane protein /cds=(64,1467) /gb=AJ007395 /gi=5295849 /ug=Hs.149250 /len=1749,34977_at
Cluster Incl. AJ007395:Homo sapiens mRNA for QA79 membrane protein /cds=(64,1467) /gb=AJ007395 /gi=5295849 /ug=Hs.149250 /len=1749,34978_g_at
Cluster Incl. AB018323:Homo sapiens mRNA for KIAA0780 protein, partial cds /cds=(0,3303) /gb=AB018323 /gi=3882280 /ug=Hs.149918 /len=4182,34979_at
Cluster Incl. AA232316:zr23b06.s1 Homo sapiens cDNA, 3  end /clone=IMAGE-664211 /clone_end=3  /gb=AA232316 /gi=1855103 /ug=Hs.149918 /len=413,34980_at
Cluster Incl. M55513:Human potassium channel (HPCN1) mRNA, complete cds /cds=UNKNOWN /gb=M55513 /gi=189653 /ug=Hs.150208 /len=2867,34981_at
Cluster Incl. AF005418:Homo sapiens retinoic acid hydroxylase mRNA, complete cds /cds=(38,1531) /gb=AF005418 /gi=2688845 /ug=Hs.150595 /len=1723,34982_at
Cluster Incl. H87920:yw16h08.r1 Homo sapiens cDNA, 5  end /clone=IMAGE-252447 /clone_end=5  /gb=H87920 /gi=1069499 /ug=Hs.150595 /len=417,34983_at
Cluster Incl. U47050:Human putative calcium influx channel (htrp3) mRNA, complete cds /cds=(162,2708) /gb=U47050 /gi=2295902 /ug=Hs.150981 /len=3417,34984_at
Cluster Incl. AF035408:Homo sapiens cartilage intermediate layer protein (CILP) mRNA, complete cds /cds=(129,3683) /gb=AF035408 /gi=3513502 /ug=Hs.151407 /len=4163,34985_at
Cluster Incl. AF030455:Homo sapiens epithelial V-like antigen precursor (EVA) mRNA, complete cds /cds=(119,766) /gb=AF030455 /gi=3169829 /ug=Hs.151602 /len=1342,34986_at
Cluster Incl. X79536:H.sapiens mRNA for hnRNPcore protein A1 /cds=(26,988) /gb=X79536 /gi=496897 /ug=Hs.151604 /len=1198,34987_s_at
Cluster Incl. AF052119:Homo sapiens clone 23622 mRNA sequence /cds=UNKNOWN /gb=AF052119 /gi=3360426 /ug=Hs.151608 /len=2382,34988_at
Cluster Incl. U09414:Human zinc finger protein ZNF137 mRNA, complete cds /cds=(140,763) /gb=U09414 /gi=488556 /ug=Hs.151689 /len=2553,34989_at
Cluster Incl. AB022660:Homo sapiens mRNA for SET-binding protein (SEB), complete cds /cds=(5,4633) /gb=AB022660 /gi=5478317 /ug=Hs.151717 /len=5744,34990_at
Cluster Incl. U58331:Human placental delta sarcoglycan mRNA, complete cds /cds=(38,808) /gb=U58331 /gi=1695856 /ug=Hs.151899 /len=1087,34991_at
Cluster Incl. U58331:Human placental delta sarcoglycan mRNA, complete cds /cds=(38,808) /gb=U58331 /gi=1695856 /ug=Hs.151899 /len=1087,34992_g_at
Cluster Incl. X95191:H.sapiens mRNA for delta-sarcoglycan /cds=(0,872) /gb=X95191 /gi=1495426 /ug=Hs.151899 /len=873,34993_at
Cluster Incl. AJ002572:Homo sapiens mRNA; transcriptional unit N143 /cds=UNKNOWN /gb=AJ002572 /gi=2959924 /ug=Hs.152108 /len=1366,34994_at
Cluster Incl. L76380:Homo sapiens (clone HSNME29) CGRP type 1 receptor mRNA, complete cds /cds=(554,1939) /gb=L76380 /gi=1321593 /ug=Hs.152175 /len=3018,34995_at
Cluster Incl. U75329:Human serine protease mRNA, complete cds /cds=(56,1534) /gb=U75329 /gi=2507612 /ug=Hs.152204 /len=2479,34996_at
Cluster Incl. U43318:Human putative transmembrane receptor (frizzled 5) mRNA, complete cds /cds=(320,2077) /gb=U43318 /gi=1151251 /ug=Hs.152251 /len=2334,34997_r_at
Cluster Incl. AF059531:Homo sapiens protein arginine N-methyltransferase 3 (PRMT3) mRNA, partial cds /cds=(0,1539) /gb=AF059531 /gi=3088574 /ug=Hs.152337 /len=2421,34998_at
Cluster Incl. AF060231:Homo sapiens herpesvirus entry protein C (HVEC) mRNA, complete cds /cds=(156,1709) /gb=AF060231 /gi=3242792 /ug=Hs.152345 /len=1710,34999_at
Cluster Incl. U03398:Human receptor 4-1BB ligand mRNA, complete cds /cds=(3,767) /gb=U03398 /gi=571322 /ug=Hs.1524 /len=1619,35000_at
Cluster Incl. Z85986:Human DNA sequence from clone 108K11 on chromosome 6p21 Contains SRP20 (SR protein family member), Ndr protein kinase gene similar to yeast suppressor protein SRP40, EST and GSS /cds=(0,932) /gb=Z85986 /gi=4034056 /ug=Hs.152400 /len=933,35001_at
Cluster Incl. Z85986:Human DNA sequence from clone 108K11 on chromosome 6p21 Contains SRP20 (SR protein family member), Ndr protein kinase gene similar to yeast suppressor protein SRP40, EST and GSS /cds=(0,932) /gb=Z85986 /gi=4034056 /ug=Hs.152400 /len=933,35002_g_at
Cluster Incl. AA534868:nf82b01.s1 Homo sapiens cDNA, 3  end /clone=IMAGE-926377 /clone_end=3  /gb=AA534868 /gi=2279121 /ug=Hs.152400 /len=595,35003_at
Cluster Incl. U31875:Human Hep27 protein mRNA, complete cds /cds=(433,1275) /gb=U31875 /gi=1079565 /ug=Hs.152677 /len=1442,35004_at
Cluster Incl. AF051941:Homo sapiens type 6 nucleoside diphosphate kinase NM23-H6 (NM23-H6) mRNA, complete cds /cds=(56,616) /gb=AF051941 /gi=3893858 /ug=Hs.152717 /len=1260,35005_at
Cluster Incl. L39060:Homo sapiens transcription factor SL1 mRNA, complete cds /cds=(24,1376) /gb=L39060 /gi=632996 /ug=Hs.153088 /len=1578,35006_at
Cluster Incl. AC004940:Homo sapiens PAC clone DJ0978E18 from 7p21 /cds=(0,1016) /gb=AC004940 /gi=3953511 /ug=Hs.153312 /len=1017,35007_at
Cluster Incl. AB002345:Human mRNA for KIAA0347 gene, complete cds /cds=(122,3862) /gb=AB002345 /gi=2224634 /ug=Hs.153405 /len=6218,35008_at
Cluster Incl. U33837:Human glycoprotein receptor gp330 precursor, mRNA, complete cds /cds=(104,14071) /gb=U33837 /gi=1809239 /ug=Hs.153595 /len=14392,35009_at
Cluster Incl. X92110:H.sapiens mRNA for hcgVIII protein /cds=UNKNOWN /gb=X92110 /gi=1216163 /ug=Hs.153618 /len=1273,35010_at
Cluster Incl. AB002320:Human mRNA for KIAA0322 gene, partial cds /cds=(0,4689) /gb=AB002320 /gi=2224584 /ug=Hs.153685 /len=6102,35011_at
Cluster Incl. M81750:H.sapiens myeloid cell nuclear differentiation antigen mRNA, complete cds /cds=(200,1423) /gb=M81750 /gi=895928 /ug=Hs.153837 /len=1670,35012_at
Cluster Incl. AF013512:untitled /cds=(106,1551) /gb=AF013512 /gi=2653816 /ug=Hs.154078 /len=1887,35013_at
Cluster Incl. AB007914:Homo sapiens mRNA for KIAA0445 protein, complete cds /cds=(2017,5958) /gb=AB007914 /gi=3413851 /ug=Hs.154139 /len=6471,35374_at
Cluster Incl. AJ011311:Homo sapiens mRNA for AP endonuclease XTH2, putative /cds=(66,1622) /gb=AJ011311 /gi=5102657 /ug=Hs.154149 /len=1956,35375_at
Cluster Incl. AC005614:Homo sapiens chromosome 19, cosmid F23269 /cds=(0,1823) /gb=AC005614 /gi=3540175 /ug=Hs.154390 /len=1824,35376_f_at
Cluster Incl. AL080159:Homo sapiens mRNA; cDNA DKFZp434M154 (from clone DKFZp434M154) /cds=(0,1087) /gb=AL080159 /gi=5262620 /ug=Hs.154680 /len=1501,35377_at
Cluster Incl. AI051683:oy77h08.x1 Homo sapiens cDNA, 3  end /clone=IMAGE-1671903 /clone_end=3  /gb=AI051683 /gi=3307217 /ug=Hs.154704 /len=453,35378_at
Cluster Incl. X54412:Human mRNA for alpha1(IX) collagen (long form) /cds=(131,2926) /gb=X54412 /gi=30083 /ug=Hs.154850 /len=2927,35379_at
Cluster Incl. M63896:Homo sapiens transcriptional enhancer factor (TEF1) DNA, complete CDS /cds=(0,1235) /gb=M63896 /gi=339440 /ug=Hs.155005 /len=1236,35380_at
Cluster Incl. AL080127:Homo sapiens mRNA; cDNA DKFZp434C013 (from clone DKFZp434C013) /cds=(0,951) /gb=AL080127 /gi=5262563 /ug=Hs.155134 /len=2222,35381_at
Cluster Incl. AF043244:Homo sapiens apoptosis repressor ARC (ARC) mRNA, complete cds /cds=(119,745) /gb=AF043244 /gi=3126906 /ug=Hs.155960 /len=900,35382_at
Cluster Incl. U88573:Human NBR2 mRNA, complete cds /cds=(307,645) /gb=U88573 /gi=2304976 /ug=Hs.156288 /len=1337,35383_at
Cluster Incl. Z34897:H.sapiens mRNA for H1 histamine receptor /cds=(0,1463) /gb=Z34897 /gi=510295 /ug=Hs.1570 /len=1727,35384_at
Cluster Incl. AI766078:wh67g08.x1 Homo sapiens cDNA, 3  end /clone=IMAGE-2385854 /clone_end=3  /gb=AI766078 /gi=5232587 /ug=Hs.157113 /len=682,35385_at
Cluster Incl. AI825097:wb16a08.x1 Homo sapiens cDNA, 3  end /clone=IMAGE-2305814 /clone_end=3  /gb=AI825097 /gi=5445860 /ug=Hs.157124 /len=420,35386_at
Cluster Incl. S71129:acetylcholinesterase {I4-E5 doman} [human, tumor cell lines, Genomic, 847 nt] /cds=(0,218) /gb=S71129 /gi=545224 /ug=Hs.157124 /len=219,35387_r_at
Cluster Incl. U14755:Human LIM domain transcription factor LIM-1 (hLIM-1) mRNA, complete cds /cds=(432,1646) /gb=U14755 /gi=549845 /ug=Hs.157449 /len=1713,35388_at
Cluster Incl. U66680:HSU66680 Homo sapiens cDNA /gb=U66680 /gi=1906565 /ug=Hs.15780 /len=1304,35389_s_at
Cluster Incl. AI651024:wa96h06.x1 Homo sapiens cDNA, 3  end /clone=IMAGE-2304059 /clone_end=3  /gb=AI651024 /gi=4735003 /ug=Hs.15780 /len=657,35390_at
Cluster Incl. AB009671:Homo sapiens mRNA for MDC2 alpha, MDC2 beta, complete cds /cds=(121,2700) /gb=AB009671 /gi=3419874 /ug=Hs.158052 /len=2786,35391_at
Cluster Incl. AB009671:Homo sapiens mRNA for MDC2 alpha, MDC2 beta, complete cds /cds=(121,2700) /gb=AB009671 /gi=3419874 /ug=Hs.158052 /len=2786,35392_g_at
Cluster Incl. AB007953:Homo sapiens mRNA, chromosome 1 specific transcript KIAA0484 /cds=UNKNOWN /gb=AB007953 /gi=3413927 /ug=Hs.158095 /len=6515,35393_at
Cluster Incl. AB011541:Homo sapiens mRNA for MEGF8, partial cds /cds=(0,5215) /gb=AB011541 /gi=3449307 /ug=Hs.158200 /len=6228,35394_at
Cluster Incl. X05997:Human mRNA for gastric lipase /cds=UNKNOWN /gb=X05997 /gi=31771 /ug=Hs.159177 /len=1365,35395_at
Cluster Incl. U54804:Human Has2 mRNA, complete cds /cds=(535,2193) /gb=U54804 /gi=1543067 /ug=Hs.159226 /len=3003,35396_at
Cluster Incl. AF006259:Homo sapiens Rad51-interacting protein mRNA, complete cds /cds=(51,1058) /gb=AF006259 /gi=2804673 /ug=Hs.159296 /len=1284,35397_at
Cluster Incl. AF070538:Homo sapiens clone 24420 mRNA sequence /cds=UNKNOWN /gb=AF070538 /gi=3387895 /ug=Hs.159408 /len=1551,35398_at
Cluster Incl. AF102544:Homo sapiens molybdopterin synthase sulfurylase (MOCS3) mRNA, complete cds /cds=(2,1384) /gb=AF102544 /gi=3851718 /ug=Hs.159410 /len=1468,35399_at
Cluster Incl. AF052152:Homo sapiens clone 24628 mRNA sequence /cds=UNKNOWN /gb=AF052152 /gi=3360462 /ug=Hs.159412 /len=1568,35400_at
Cluster Incl. AB021225:Homo sapiens mRNA for membrane-type-4 matrix metalloproteinase, complete cds /cds=(99,1916) /gb=AB021225 /gi=5688852 /ug=Hs.159581 /len=2423,35401_s_at
Cluster Incl. AF068868:Homo sapiens TNFR-related death receptor-6 (DR6) mRNA, complete cds /cds=(0,1967) /gb=AF068868 /gi=3549262 /ug=Hs.159651 /len=1968,35402_at
Cluster Incl. AB029017:Homo sapiens mRNA for KIAA1094 protein, complete cds /cds=(316,1932) /gb=AB029017 /gi=5689524 /ug=Hs.161166 /len=2089,35403_at
Cluster Incl. M60284:Human neurokinin A receptor (NK-2R) gene /cds=(0,1196) /gb=M60284 /gi=189141 /ug=Hs.161305 /len=1197,35404_at
Cluster Incl. X52520:Human mRNA for tyrosine aminotransferase (TAT) (EC 2.6.1.5) /cds=(96,1460) /gb=X52520 /gi=36712 /ug=Hs.161640 /len=2754,35405_at
Cluster Incl. AB011422:Homo sapiens mRNA for Trad, complete cds /cds=(117,3986) /gb=AB011422 /gi=4521277 /ug=Hs.162189 /len=5333,35406_at
Cluster Incl. M81933:Human cdc25A mRNA, complete cds /cds=(459,2030) /gb=M81933 /gi=180170 /ug=Hs.1634 /len=2419,35407_at
Cluster Incl. X16281:Human mRNA for zinc finger protein (clone 431) /cds=(0,494) /gb=X16281 /gi=38014 /ug=Hs.163882 /len=1012,35408_i_at
Cluster Incl. X16281:Human mRNA for zinc finger protein (clone 431) /cds=(0,494) /gb=X16281 /gi=38014 /ug=Hs.163882 /len=1012,35409_r_at
Cluster Incl. U81234:Human chemokine alpha 3 (CKA-3) mRNA, complete cds /cds=(63,407) /gb=U81234 /gi=4098960 /ug=Hs.164021 /len=1528,35410_at
Cluster Incl. AB018551:Homo sapiens ATPBL mRNA for coiled-coil protein, complete cds /cds=(73,1389) /gb=AB018551 /gi=4587303 /ug=Hs.164410 /len=2785,35411_at
Cluster Incl. D13705:Human mRNA for fatty acids omega-hydroxylase (cytochrome P-450HKV), complete cds /cds=(23,1588) /gb=D13705 /gi=1197806 /ug=Hs.1645 /len=1763,35412_at
Cluster Incl. AA258092:zs30g01.r1 Homo sapiens cDNA, 5  end /clone=IMAGE-686736 /clone_end=5  /gb=AA258092 /gi=1894524 /ug=Hs.166051 /len=502,35413_s_at
Cluster Incl. U77914:Human soluble protein Jagged mRNA, partial cds /cds=(0,791) /gb=U77914 /gi=1684889 /ug=Hs.166065 /len=1589,35414_s_at
Cluster Incl. X12901:Human mRNA for villin /cds=(24,2507) /gb=X12901 /gi=37842 /ug=Hs.166068 /len=2690,35415_at
Cluster Incl. AF034611:Homo sapiens intrinsic factor-B12 receptor precursor, mRNA, complete cds /cds=(26,10897) /gb=AF034611 /gi=3929528 /ug=Hs.166206 /len=11334,35416_at
Cluster Incl. AI373743:qz54c04.x1 Homo sapiens cDNA, 3  end /clone=IMAGE-2030694 /clone_end=3  /gb=AI373743 /gi=4153609 /ug=Hs.166206 /len=494,35417_at
Cluster Incl. J04178:Human abnormal beta-hexosaminidase alpha chain (HEXA) mRNA, partial cds /cds=UNKNOWN /gb=J04178 /gi=184001 /ug=Hs.166299 /len=1092,35418_at
Cluster Incl. J04178:Human abnormal beta-hexosaminidase alpha chain (HEXA) mRNA, partial cds /cds=UNKNOWN /gb=J04178 /gi=184001 /ug=Hs.166299 /len=1092,35419_g_at
Cluster Incl. AB020720:Homo sapiens mRNA for KIAA0913 protein, partial cds /cds=(0,3906) /gb=AB020720 /gi=4240314 /ug=Hs.166404 /len=4222,35420_r_at
Cluster Incl. D50810:Homo sapiens mRNA for placental leucine aminopeptidase, complete cds /cds=(714,3548) /gb=D50810 /gi=1304118 /ug=Hs.166733 /len=4053,35421_at
Cluster Incl. U01828:Human microtubule-associated protein 2 (MAP2) mRNA, complete cds /cds=(248,5728) /gb=U01828 /gi=409874 /ug=Hs.167 /len=5968,35422_at
Cluster Incl. D28539:Human mRNA for metabotropic glutamate receptor subtype 5b, complete cds /cds=(150,3788) /gb=D28539 /gi=1408053 /ug=Hs.167185 /len=4614,35423_at
Cluster Incl. D28539:Human mRNA for metabotropic glutamate receptor subtype 5b, complete cds /cds=(150,3788) /gb=D28539 /gi=1408053 /ug=Hs.167185 /len=4614,35424_g_at
Cluster Incl. AJ243512:Homo sapiens mRNA for Barx2 protein (Barx2 gene) /cds=(16,855) /gb=AJ243512 /gi=5459378 /ug=Hs.167218 /len=1374,35425_at
Cluster Incl. AC004410:Homo sapiens chromosome 19, fosmid 39554 /cds=(0,1196) /gb=AC004410 /gi=2959558 /ug=Hs.167352 /len=1197,35426_at
Cluster Incl. W28256:44b9 Homo sapiens cDNA /gb=W28256 /gi=1308204 /ug=Hs.167390 /len=882,35427_at
Cluster Incl. W28256:44b9 Homo sapiens cDNA /gb=W28256 /gi=1308204 /ug=Hs.167390 /len=882,35428_g_at
Cluster Incl. AI816796:wj34c03.x1 Homo sapiens cDNA, 3  end /clone=IMAGE-2404708 /clone_end=3  /gb=AI816796 /gi=5435875 /ug=Hs.167390 /len=513,35429_at
Cluster Incl. U78082:Human RNA polymerase transcriptional regulation mediator (h-MED6) mRNA, complete cds /cds=(50,523) /gb=U78082 /gi=2618737 /ug=Hs.167738 /len=885,35430_at
Cluster Incl. U78082:Human RNA polymerase transcriptional regulation mediator (h-MED6) mRNA, complete cds /cds=(50,523) /gb=U78082 /gi=2618737 /ug=Hs.167738 /len=885,35431_g_at
Cluster Incl. AF074723:Homo sapiens RNA polymerase transcriptional regulation mediator (MED6) mRNA, complete cds /cds=(24,764) /gb=AF074723 /gi=3329505 /ug=Hs.167738 /len=1007,35432_at
Cluster Incl. AF038181:Homo sapiens clone 23607 mRNA sequence /cds=UNKNOWN /gb=AF038181 /gi=2795901 /ug=Hs.167825 /len=1196,35433_s_at
